country,year,cream_direct_consumption_1000t,processed_drinking_milk_1000t,milk_delivered_to_dairies_1000t
Spain,2022,181.29,4244.53,7313.98
Spain,2023,227.49,4573.34,7330.27
Spain,2024,269.51,5030.92,7442.07
Spain,2025,245.27,5008.94,7410.28
Sweden,2016,113.88,800.02,2861.99
Sweden,2017,105.51,765.09,2816.65
Sweden,2018,102.36,754.11,2760.23
Sweden,2019,96.86,732.99,2704.39
Sweden,2020,74.07,694.03,2772.74
Sweden,2021,65.88,683.65,2782.22
Sweden,2022,64.29,685.91,2764.84
Sweden,2023,66.88,690.88,2818.53
Sweden,2024,71.29,678.59,2799.91
Sweden,2025,72.45,664.59,2899.42
Switzerland,2016,86.84,451.1,3406.8
Switzerland,2017,86.54,440.4,3409.54
Switzerland,2018,86.96,437.78,3426.97
Switzerland,2019,84.84,429.52,3372.09
Switzerland,2020,84.88,447.99,3378.9
Switzerland,2022,71.17,408.47,3309.9
Switzerland,2023,71.14,403.91,3303.38
Switzerland,2024,69.78,405.51,3304.82
Switzerland,2025,70.76,401.69,
Türkiye,2016,31.9,1444.8,9213.5
Türkiye,2017,33.0,1548.8,9111.5
Türkiye,2018,33.0,1662.0,10028.3
Türkiye,2019,40.1,1540.2,9559.9
Türkiye,2020,41.6,1613.25,9840.97
Türkiye,2021,41.2,1523.15,10069.7
Türkiye,2022,31.93,1496.57,9751.82
Türkiye,2023,29.15,1518.27,10219.99
Türkiye,2024,30.53,1577.55,11252.8
Türkiye,2025,38.44,1639.76,
United Kingdom,2016,289.6,6631.6,14542.0
United Kingdom,2017,307.2,6910.7,15144.7
United Kingdom,2018,284.9,6783.19,15188.1
United Kingdom,2019,306.1,6332.8,15428.2
