country,year,butter_prod_1000t
Slovenia,2018,2.63
Slovenia,2019,2.54
Slovenia,2020,2.63
Slovenia,2021,
Slovenia,2022,
Slovenia,2023,
Slovenia,2024,
Slovakia,2013,9.08
Slovakia,2014,8.63
Slovakia,2015,8.93
Slovakia,2016,8.97
Slovakia,2017,
Slovakia,2018,10.12
Slovakia,2019,10.06
Slovakia,2020,11.08
Slovakia,2021,10.72
Slovakia,2022,10.75
Slovakia,2023,9.25
Slovakia,2024,9.92
Türkiye,2013,41.52
Türkiye,2014,45.8
Türkiye,2015,51.8
Türkiye,2016,57.6
Türkiye,2017,59.45
Türkiye,2018,65.9
Türkiye,2019,73.7
Türkiye,2020,78.6
Türkiye,2021,84.8
Türkiye,2022,95.66
Türkiye,2023,87.07
Türkiye,2024,102.62
United Kingdom,2013,142.33
United Kingdom,2014,143.26
United Kingdom,2015,144.51
United Kingdom,2016,143.08
United Kingdom,2017,161.15
United Kingdom,2018,152.49
United Kingdom,2019,188.07
